"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"ship12l",5533,1151,0.00255571067709531,0.567332754126846,0.980842219410808,TRUE,0.984361424847958,0.000868809730668983,0.131190269331017,0.197567332754127,0.295916594265856,0.394265855777585,0.494352736750652,0.592701998262381,0.69105125977411,0.792006950477845,0.890095569070374,1
"ship12s",2869,1151,0.00250861617597137,0.567332754126846,0.963053328685953,TRUE,0.98262380538662,0.000869187309865276,0.112125162972621,0.203389830508475,0.301607996523251,0.399826162538027,0.498044328552803,0.59800086918731,0.696219035202086,0.794871794871795,0.898305084745763,0.998696219035202
"sierra",2735,1227,0.00238419831666838,0.636511817440913,0.712979890310786,TRUE,0.50040749796251,0.000814995925020375,0.0572942135289324,0.107253463732681,0.15721271393643,0.223716381418093,0.223716381418093,0.61678891605542,0.846862265688672,0.900081499592502,0.950040749796251,1
"stair",614,356,0.0183133257694982,0.196629213483146,0.00162866449511401,TRUE,0.865168539325843,0.00421348314606742,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,1
"standata",1274,359,0.00706217777447384,0.0194986072423398,0.00549450549450549,TRUE,0.98050139275766,0.0136239782016349,1,1,1,1,1,1,1,1,1,1
"standgub",1383,361,0.00668585495019659,0.0193905817174515,0.00506146059291396,TRUE,0.980609418282548,0.013550135501355,1,1,1,1,1,1,1,1,1,1
"standmps",1274,467,0.00651810716050545,0.246252676659529,0.00549450549450549,TRUE,0.91220556745182,0.0105263157894737,1,1,1,1,1,1,1,1,1,1
"stocfor1",165,117,0.025951825951826,0.0683760683760684,0.163636363636364,TRUE,0.675213675213675,0.00854700854700855,0.0752136752136752,0.482905982905983,0.482905982905983,0.482905982905983,0.482905982905983,0.482905982905983,0.482905982905983,0.482905982905983,0.87948717948718,1
"stocfor2",3045,2157,0.0014246204932503,0.00370885489105239,0.377339901477833,TRUE,0.68567454798331,0.000927213722763097,0.0695410292072323,0.144413537320352,0.20955030134446,0.500463606861382,0.500463606861382,0.500463606861382,0.500463606861382,0.500463606861382,0.88618451553083,0.998377375985165
"tuff",628,333,0.0218100265870967,0,0.00477707006369427,TRUE,1,0.00602409638554217,0.548192771084337,0.548192771084337,0.548192771084337,0.548192771084337,0.548192771084337,0.548192771084337,0.548192771084337,0.548192771084337,0.548192771084337,1
"vtp_base",346,198,0.0153412740117942,0.297979797979798,0.0173410404624277,TRUE,0.52020202020202,0.0341463414634146,1,1,1,1,1,1,1,1,1,1
"wood1p",2595,244,0.11089421649452,0.00819672131147541,0.000385356454720617,TRUE,0.979508196721312,0.00813008130081301,1,1,1,1,1,1,1,1,1,1
"woodw",8418,1098,0.00405573363695888,0.0309653916211293,0.000475172249940603,TRUE,0.990892531876138,0.00453309156844968,1,1,1,1,1,1,1,1,1,1
